gene	n_timepoints	delta_pool	hetero_gap	discordance	instability_score	var_proxy
RvY_00186-1	8	-0.665455418927536	0.76412869824363	0	0.76412869824363	0.065253285829211
RvY_00187-1	8	0.0617971434637789	0.827298581972407	0.375	1.13753555021206	0.0744690242355175
RvY_00188-1	8	-0.819855623040694	0.617206237106452	0	0.617206237106452	0.055908881449689
RvY_00190-1	8	0.34540347894743	0.49704238318769	0	0.49704238318769	0.0334337998042944
RvY_00191	8	-0.109615183637904	0.413892967925856	0.125	0.465629588916588	0.0186621838877248
RvY_00192	8	-0.350451057894211	0.670674665337817	0.125	0.754508998505044	0.0560118976079416
RvY_00193-1	8	0.17881799557579	0.751424027702033	0.25	0.939280034627541	0.0725032924059236
RvY_00194-1	8	0.0912998329830365	0.433409558064669	0.375	0.595938142338919	0.0254112476297352
RvY_00195	8	-0.0962841853532887	1.11401400835471	0.25	1.39251751044338	0.131450262696852
RvY_00196-1	8	-1.22019664727294	1.46303396661531	0	1.46303396661531	0.324000259858115
RvY_00197-1	8	-0.09597494823307	0.553903388830078	0.375	0.761617159641357	0.041884358534813
RvY_00198	8	0.0659647149746354	0.844293824817245	0.375	1.16090400912371	0.0880871544773712
RvY_00199-1	8	0.0215384643755154	0.627544330798023	0.375	0.862873454847282	0.0466621582804452
RvY_00200-1	8	0.382705236980207	0.821346788265223	0	0.821346788265223	0.0701809628972175
RvY_00201-1	8	1.11117324123075	1.15134268943703	0	1.15134268943703	0.151789123924329
RvY_00202	8	-0.0499953023411764	0.307562103515212	0.375	0.422897892333417	0.0147898020671654
RvY_00203-1	8	0.37053016586619	0.538194831870889	0	0.538194831870889	0.0345874922946131
RvY_00206	8	-0.0616329458082724	0.522748643713295	0.375	0.718779385105781	0.033135305523223
RvY_00208-1	8	0.0489589140661686	0.277398502218753	0.25	0.346748127773441	0.00898242874570437
RvY_00209	8	-0.374031580469535	0.468636271806082	0	0.468636271806082	0.0276414826448269
RvY_00210-1	8	-0.357664759940898	0.711382738807067	0.125	0.800305581157951	0.0531363880362591
RvY_00211	8	-0.33903774008661	1.10284764105762	0.125	1.24070359618983	0.135799811302444
RvY_00212-1	8	-0.294702574733576	0.953962882365116	0.375	1.31169896325203	0.117362895495635
RvY_00217	8	0.0554775960536917	0.882317392001744	0.375	1.2131864140024	0.0692909146084288
RvY_00222-1	8	-0.647032883834159	1.12057635844048	0	1.12057635844048	0.126110788157975
RvY_00228-1	8	0.144076120670459	0.520688346870006	0.25	0.650860433587508	0.027437019245851
RvY_00229-1	8	0.634993485765449	0.947732399326537	0	0.947732399326537	0.112258598273024
RvY_00230-1	8	-0.448963428616453	0.996608960531728	0	0.996608960531728	0.098336056560442
RvY_00231-1	8	-0.208506766296182	0.597788138121307	0.125	0.672511655386471	0.028644715544309
RvY_00232	8	0.809705574107659	0.978882359876195	0	0.978882359876195	0.133086892936139
RvY_00233-1	8	0.099724836160732	0.989998626082501	0.375	1.36124811086344	0.12175222725753
RvY_00234-1	8	-0.135629860430438	0.296311784467457	0.125	0.333350757525889	0.0125366888356849
RvY_00235-1	8	-0.232128892058356	0.495285454377683	0.125	0.557196136174894	0.0280511718935528
RvY_00236	8	0.260397379606577	0.495377925453432	0	0.495377925453432	0.0277317872624971
RvY_00237-1	8	0.00446463418476577	0.738475655417267	0.5	1.1077134831259	0.065022955432307
RvY_00242-1	8	-0.119360550949825	0.496098688927676	0.25	0.620123361159595	0.0291027397552824
RvY_00244	8	0.848297008170692	1.41305119065326	0	1.41305119065326	0.310130561900567
RvY_00245-1	8	-0.752651188158343	0.683355369500186	0	0.683355369500186	0.0916244935650563
RvY_00247	8	-0.0949164396125468	0.802025106630141	0.375	1.10278452161644	0.0640056363526318
RvY_00248	8	0.10419086229172	0.628372002759272	0.375	0.864011503793999	0.0485005162179972
RvY_00249	8	0.0967472414171994	1.02886072080342	0.5	1.54329108120513	0.170861838485095
RvY_00250	8	0.207436584682026	0.423009198068119	0.125	0.475885347826634	0.0219426525438011
RvY_00251	8	-0.14502528585167	1.18660108704101	0.375	1.63157649468138	0.137927080706827
RvY_00252	8	-0.343545979393746	0.836372552381764	0.25	1.04546569047721	0.102283074459319
RvY_00253-1	8	-0.881432893765583	0.808012707661325	0	0.808012707661325	0.0994071256135873
RvY_00254	8	-0.0950339586467218	0.605247451873164	0.125	0.68090338335731	0.036078257778914
RvY_00257	8	-0.444357112894233	0.915527636117526	0	0.915527636117526	0.110716324649787
RvY_00259-1	8	-0.365088827564983	0.627733832767061	0	0.627733832767061	0.0455296019811519
RvY_00261-1	8	-0.249154423075359	0.677231156923959	0.25	0.846538946154949	0.0619464431456921
RvY_00262	8	-0.0667279814890437	0.598527379947396	0.625	0.972606992414518	0.053858149367481
RvY_00264-1	8	-0.089291629257624	0.608067816904213	0.375	0.836093248243293	0.0492688532115584
RvY_00265-1	8	-0.871491944506459	0.859619776563681	0	0.859619776563681	0.0813219003512696
RvY_00271	8	-0.0583448755534704	0.616225800790446	0.5	0.924338701185669	0.0500255258363552
RvY_00272-1	4	0.38195091232637	0.330575477336715	0	0.330575477336715	0.0246830252084697
RvY_00275-1	8	-0.152843462249528	0.589634686230547	0.375	0.810747693567002	0.0591001489857538
RvY_00276-1	8	-0.0622561536780357	0.531220999799774	0.5	0.796831499699662	0.0431656121385056
RvY_00278	8	-0.332963120213307	1.14449435458747	0.125	1.28755614891091	0.154748087810945
